,Timestamp_x,plant_id,Trimmer,grams,Simple_Date,Unnamed: 5,Timestamp_y,Name,Flower Time
31,2018-05-20 16:06:46.286,E02,Smit,26.0,2018-05-20 00:00:00,,2018-05-20 13:53:43.151,Meat Breath,
32,2018-05-20 16:07:07.402,E02,TPain,38.0,2018-05-20 00:00:00,,2018-05-20 13:53:43.151,Meat Breath,
33,2018-05-20 18:40:30.247,E03,TPain,24.0,2018-05-20 00:00:00,,2018-05-20 16:11:53.017,Lemon Pie #1,
34,2018-05-20 18:40:49.388,E03,Smit,51.5,2018-05-20 00:00:00,,2018-05-20 16:11:53.017,Lemon Pie #1,
35,2018-05-20 21:05:38.934,E04,Smit,64.0,2018-05-20 00:00:00,,2018-05-20 18:55:50.503,Tang Breath,
36,2018-05-21 22:49:10.542,F01,Smit,114.0,2018-05-21 00:00:00,,2018-05-21 23:06:38.414,Meat Breath,
37,2018-05-21 22:49:40.719,F04,Smit,31.5,2018-05-21 00:00:00,,2018-05-21 23:08:12.222,Gorilla Butter,
38,2018-05-21 22:49:55.545,F04,House,61.0,2018-05-21 00:00:00,,2018-05-21 23:08:12.222,Gorilla Butter,
39,2018-05-22 01:23:15.716,F06,Smit,61.0,2018-05-21 00:00:00,,2018-05-21 23:10:34.021,Watermelon ZDP #2,
40,2018-05-23 10:34:42.445,F06,Smit,45.5,2018-05-22 00:00:00,,2018-05-21 23:10:34.021,Watermelon ZDP #2,
41,2018-05-22 01:23:33.947,F03,House,40.0,2018-05-21 00:00:00,,2018-05-21 23:07:30.586,Peanut Butter Breath,
42,2018-05-23 10:34:57.665,F03,Smit,51.5,2018-05-22 00:00:00,,2018-05-21 23:07:30.586,Peanut Butter Breath,
43,2018-05-23 21:08:18.443,F03,Smit,31.5,2018-05-23 00:00:00,,2018-05-21 23:07:30.586,Peanut Butter Breath,
44,2018-05-22 01:23:54.128,F05,House,38.0,2018-05-21 00:00:00,,2018-05-21 23:08:36.746,Electric Lemon G,
45,2018-05-23 23:49:19.918,F05,Smit,14.5,2018-05-23 00:00:00,,2018-05-21 23:08:36.746,Electric Lemon G,
46,2018-05-27 10:26:36.915,F05,Smit,29.0,2018-05-24 00:00:00,,2018-05-21 23:08:36.746,Electric Lemon G,
47,2018-05-27 10:27:38.079,F05,Bri,26.5,2018-05-24 00:00:00,,2018-05-21 23:08:36.746,Electric Lemon G,
48,2018-05-23 10:35:18.780,G01,Smit,81.5,2018-05-22 00:00:00,,2018-05-23 10:33:30.302,Lemon Pie #3,
49,2018-05-23 21:07:44.412,G01,Smit,67.5,2018-05-23 00:00:00,,2018-05-23 10:33:30.302,Lemon Pie #3,
50,2018-05-23 21:08:01.991,G01,Smit,26.0,2018-05-23 00:00:00,,2018-05-23 10:33:30.302,Lemon Pie #3,
51,2018-05-23 21:08:34.669,G02,Smit,139.0,2018-05-23 00:00:00,,2018-05-23 10:33:49.320,GMO,
52,2018-05-23 23:09:35.309,G02,Smit,31.5,2018-05-23 00:00:00,,2018-05-23 10:33:49.320,GMO,
53,2018-05-27 10:26:18.148,G02,Smit,29.0,2018-05-24 00:00:00,,2018-05-23 10:33:49.320,GMO,
54,2018-05-27 10:27:20.291,G02,Bri,24.0,2018-05-24 00:00:00,,2018-05-23 10:33:49.320,GMO,
55,2018-05-27 10:28:14.590,G02,Bri,39.0,2018-05-25 00:00:00,,2018-05-23 10:33:49.320,GMO,
56,2018-05-27 10:26:00.151,G03,Smit,31.5,2018-05-24 00:00:00,,2018-05-23 10:34:21.259,Ancient Whisper,
57,2018-05-27 10:27:05.136,G03,Bri,30.0,2018-05-24 00:00:00,,2018-05-23 10:34:21.259,Ancient Whisper,
58,2018-05-27 10:26:48.680,H01,Smit,11.0,2018-05-24 00:00:00,,2018-05-27 10:30:55.111,Special CandyLand,
59,2018-05-27 10:27:55.593,H01,Bri,11.0,2018-05-24 00:00:00,,2018-05-27 10:30:55.111,Special CandyLand,
60,2018-05-27 10:28:26.403,I01,Smit,29.0,2018-05-25 00:00:00,2018-05-25,2018-05-27 10:31:21.958,Truffle Butter,
61,2018-05-27 10:28:41.887,I01,Bri,29.0,2018-05-25 00:00:00,2018-05-25,2018-05-27 10:31:21.958,Truffle Butter,
62,2018-06-04 00:18:49.274,I01,Smit,49.5,2018-05-30 00:00:00,,2018-05-27 10:31:21.958,Truffle Butter,
